Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_932	bayseq_library_933	bayseq_library_919	bayseq_library_921	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

LOC771752	0.808795	0.935658	0.210207	0.0461552	0.86565	0.999942	-6.36089176376878	3.50639218020047	2.09750376423175e-05	0.0149048617486308	724.07175316817	-5.33003828918021	1.27708737629888	-4.17358936287286	2.99837975339913e-05	0.00365812694596149	2402	9	16	17	0.834584311039341	1>2	0.0999460127027989	0.999995161205019	
LOC419144	6.99143	9.7427	0.478734	0.390103	0.5612	0.999942	-9.55353725328965	-0.259784375499133	1.0153049239427e-05	0.00908270834062621	51.3246979519036	-6.48184329650733	1.45784718460973	-4.44617471908932	8.74128623956556e-06	0.00193870578887391	171	2	0	0	0.774300262816147	1>2	0.136822756618425	0.99999999999886	
LIMS2	118.149	138.7	0.231358	0.157099	0.8343	0.999942	-6.05173458842227	6.27078379978463	3.6898031150932e-05	0.0206997954756729	4925.73571452588	-5.21214466934269	1.22108691372898	-4.26844691458182	1.96838657507189e-05	0.00294585439985611	16205	175	212	76	0.370694899007688	1>2	0.426946860889899	1	
CHFR	4.56905	6.26948	0.456453	0.127746	0.6938	0.999942	-9.19452117297281	-0.603378527148165	2.19269414910045e-05	0.0150786625388785	39.9187205874136	-6.35447856753169	1.45141530227938	-4.37812565263179	1.19704333489771e-05	0.00218526911026326	131	4	0	0	0.782401942026024	1>2	0.133440277348603	0.999999999993372	
TCFL5	0.501978	1.45725	1.53755	0.115438	0.4623	0.999942	-5.8632673612188	4.00377699276316	5.99036683627079e-05	0.0277614435251349	1022.73684582822	-4.84868966787793	1.30993664886534	-3.70146882452511	0.000214354996738019	0.015312402593068	3383	6	25	40	0.541339634581959	1>2	0.292930513530183	1	
LOC101748762	0.0970394	2.19152	4.49722	1.59262	0.2938	0.999942	-7.6813705556878	1.48720569729569	4.55464634949865e-06	0.00511031320413748	177.263676662292	-6.05607014889061	1.36165049955718	-4.44759514343812	8.68369999947429e-06	0.00193870578887391	593	1	1	2	0.770409784519466	1>2	0.138293603408072	0.999999999999477	
CCDC13	0.66282	0.756817	0.191329	0.030184	0.94505	0.999942	-7.74240229884676	1.893475276063	3.31494686667004e-06	0.00441675233147949	235.34127738569	-6.40689534222446	1.28551290201707	-4.98392146214287	6.23083786216903e-07	0.000357583989336008	782	8	3	1	0.803610743431689	1>2	0.117967199401909	0.999999991438225	
HSF2	15.4536	18.2486	0.23984	0.266117	0.70625	0.999942	-9.41300664748214	-0.394715451025567	1.36649607849977e-05	0.0116523853605833	46.5136146059107	-6.45391476996551	1.45243254231938	-4.44352118388871	8.84984383235199e-06	0.00193870578887391	154	3	0	0	0.780429920931593	1>2	0.134397764551613	0.999999999995959	
LOC101747521	0.0175989	0.724538	5.36351	0.229055	0.28545	0.999942	-9.91032669780904	5.69156632441976	1.10451656307292e-08	6.86255217459112e-05	3305.37805320821	-7.28896440679102	1.41085771672227	-5.1663355704818	2.38728025804053e-07	0.00019611507319803	11107	1	8	5	0.992527515730576	1>2	0.00519604994425454	0.0206335408665478	
IGSF11	0.611695	29.0185	5.56802	4.08124	5e-05	0.00964066	-6.66523900756015	-0.859388214469449	0.000162048335618639	0.0585516342155618	33.1106171794909	-5.23200670586198	1.40004361458792	-3.73703122627501	0.000186205806399707	0.0135971617739875	109	2	1	0	0.506869998895318	1>2	0.320141232058837	1	
GLRA1	0.0231738	4.25315	7.5199	3.12871	0.06705	0.752212	-8.96868671489137	3.8914789222516	1.45054076836446e-07	0.000441751829999909	947.587591329562	-6.87260623946894	1.38146516925115	-4.97486754819478	6.52922682902024e-07	0.000357583989336008	3181	1	4	3	0.952059767582189	1>2	0.0258133110715801	0.343103311589176	
OGT	125.055	191.25	0.6129	0.415652	0.5552	0.999942	-4.99762802649326	-1.07699736593885	0.00137580141470929	0.230939642195061	26.4686191965105	-4.43204535434246	1.14432578683921	-3.87306255378935	0.000107476227984135	0.00954505095015854	49	46	1	2	0.949588867485433	1>2	0.0284209276033213	0.406254924267923	
TXNL4A	36.6558	36.7433	0.00344023	0.00269584	0.99695	0.999942	8.83824642038588	-0.932781989010991	4.70843324179194e-05	0.0244815560606148	28.0171683150367	6.28031046129111	1.40379387359834	4.4738124160585	7.68371557841138e-06	0.00193870578887391	0	0	65	55	0.99604849258382	2>1	0.00296861057127662	0.00592937458003706	
ANKRD34B	0.397458	0.669275	0.751797	0.581941	0.425	0.999942	-6.06575322568022	1.55229068005687	6.36858508146559e-05	0.0285162821518209	185.062649377812	-5.17228488520217	1.24288388333835	-4.1615189918704	3.16137700469346e-05	0.00371010172765097	607	9	3	7	0.582510084276179	1>2	0.269745601378971	1	
CYLD	6.34794	5.87704	-0.111199	-0.0971857	0.8873	0.999942	-5.72034194112327	1.01083342572349	0.000118481999761659	0.0451035584092688	126.193885588666	-4.97050480145795	1.21216921458025	-4.10050407292279	4.12251179858671e-05	0.0046120588707812	407	13	7	2	0.519772062773086	1>2	0.309817045275633	1	
DNAJC7	12.7521	53.7877	2.07654	0.0319226	0.2711	0.999942	-6.03655115908677	4.42159553571326	4.08762674474618e-05	0.0217850067361248	1366.76263847561	-5.09737251002283	1.26609765701149	-4.02605003002274	5.67216255347577e-05	0.00601249230668431	4520	19	46	33	0.692004234030211	1>2	0.203211580962688	1	
LOC101750399	0	1.77783	inf	-nan	0.0005	0.0396968	-9.92302695234459	0.0981068324415299	4.53195012286747e-06	0.00511031320413748	59.856991636872	-7.30146742287939	1.34908650762679	-5.41215658269653	6.2270199663592e-08	0.000102309938047282	55	179	0	0	0.975839753494629	1>2	0.0131264088505215	0.100559781191821	
FGF13	11.0083	9.63275	-0.192574	-0.166331	0.78365	0.999942	-10.1464290919344	0.314576617859021	2.80333122433441e-06	0.00398409433602407	77.4329995959814	-6.92251218621243	1.43693358743555	-4.81755889537442	1.45325202669363e-06	0.000654986359296547	258	3	0	0	0.830258005562037	1>2	0.102232655546772	0.999997681094136	
OFD1	4.89119	5.14109	0.0718891	0.00231895	0.9423	0.999942	-5.65599405521899	6.48908005629311	8.60039449508997e-05	0.0360208071416047	5726.90300766724	-4.91958156745092	1.20118508490282	-4.09560660491294	4.21064413035411e-05	0.0046120588707812	18733	237	270	163	0.503063262385102	1>2	0.321238209472661	1	
CLYBL	4.84838	5.42262	0.161486	0.137337	0.8454	0.999942	-14.8087734468336	4.94139180967088	9.65826915256963e-11	2.05894981794479e-06	1964.51589909851	-1.62631379699509	1.61574374434688	-1.00654191154086	0.314154961164492	0.926047025439773	6607	1	0	0	0.998014286273627	1>2	0.00198571372637346	0.00198571372637346	
LOC768349	2.92442	0.742299	-1.97808	-1.52611	0.05825	0.711737	3.54151510282596	1.37763892262713	0.00742059985800248	0.601491816626984	147.543607370307	3.25548666371363	0.857000988152726	3.79869651111005	0.000145459074858584	0.0113804409520311	19	26	286	291	0.962348097760303	2>1	0.0214426159859616	0.246365816690999	
LOC427533	0.0201759	7.80168	8.595	2.45761	0.0116	0.284662	-8.53598766740529	0.980475492078035	2.64452806988351e-06	0.00398409433602407	124.171609583172	-6.39765504192056	1.40433482279329	-4.55564793956708	5.22243440343539e-06	0.00171609194496887	416	1	0	1	0.674095532304317	1>2	0.208165366618867	1	
WIPF3	2.11232	4.29704	1.02452	0.272149	0.435	0.999942	-6.39772221287109	2.08413135551684	2.5342034328624e-05	0.0163709541762911	268.755736560252	-5.40822888962096	1.26186763382025	-4.28589239050992	1.82007079575697e-05	0.00294585439985611	889	7	8	4	0.71778446136319	1>2	0.172019951170485	1	
NRBF2	19.4563	19.7878	0.0243755	0.0235663	0.97315	0.999942	-5.80427263505148	1.63350178398275	8.63918190654394e-05	0.0360208071416047	195.957169823678	-4.94862569131923	1.25098190974699	-3.95579316756075	7.6281138100142e-05	0.00737234764109019	644	6	7	6	0.719986022223891	1>2	0.170332907600584	1	
EVC	4.73474	6.81582	0.525603	0.538931	0.4528	0.999942	-8.80309145757687	-0.973208758134069	5.11077592530776e-05	0.0248450482786189	30.3508087814098	-6.11899660766149	1.4578514368732	-4.19727034792071	2.70151374092666e-05	0.00362861166790945	98	5	0	0	0.785168818213636	1>2	0.132962108140504	0.999999999991529	
LOC418472	4.85272	18.5938	1.93796	0.686338	0.077	0.802758	-7.70950023581174	0.136040747534426	1.72556357607454e-05	0.0131377015409847	68.1379721860891	-6.04537390080359	1.37430856115535	-4.39884758901696	1.08827217544648e-05	0.00210356609912772	226	3	1	0	0.627306900428182	1>2	0.233910100313871	1	
LOC101748574	0.0158251	0.498739	4.978	1.14301	0.4257	0.999942	-6.72125731696823	3.4900455940807	1.02253963868575e-05	0.00908270834062621	716.169234921527	-5.55505980709625	1.30155822635797	-4.26800714297696	1.97227013989149e-05	0.00294585439985611	2384	6	18	8	0.731508467469143	1>2	0.163398697060922	1	
