Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_668	bayseq_library_669	bayseq_library_670	bayseq_library_671	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

LOC101750146	15.1143	44.0107	1.54194	2.12134	0.0017	0.66035	-2.26113625174384	6.49504109478398	2.51956103839668e-07	0.000358080014776936	638.631779986683	-0.0412635615744513	0.054491157167238	-0.757252437268122	0.448898640092801	0.999980257239735	20	2363	315	23	0.00105546235842681	1>2	0.99546569966608	1	
COL4A4	0.0481777	0.616903	3.67861	0	1	1	-3.49688446825096	1.40211450104106	2.50934010758094e-07	0.000358080014776936	16.4664658141004	-0.297277017336649	0.118223064174684	-2.51454332884992	0.0119186656067256	NA	55	9	1	4	0.0601058804895278	1>2	0.831309140339879	1	
SLCO1B1	0.0217397	0.544593	4.64677	0	1	1	-3.51531201226874	0.378494079592946	8.19728629330432e-05	0.0485415970001837	7.00380788678039	-0.180428996938778	0.0947305879319642	-1.90465403918281	0.0568250570977108	NA	19	9	0	2	0.11690609781446	1>2	0.703190667841178	1	
CLDN1	2.21394	11.8195	2.41648	3.40612	0.00025	0.157226	-2.4488989204348	3.88754498496298	3.14797360747059e-07	0.000419428133525363	102.815485856772	-0.0715000868257154	0.0694727985431418	-1.02918103668035	0.303394611651206	0.999980257239735	346	12	40	14	0.000868728495748658	1>2	0.995871815985668	1	
NPY	128.608	497.22	1.95091	6.15415	5e-05	0.0471679	-1.94684824167364	6.48050259441653	5.99440115061217e-06	0.00555602798820653	630.860913758873	-0.675607955614413	0.179225017311567	-3.76960742282942	0.000163504524545166	0.23484699875504	447	1779	148	373	0.0481903132443073	1>2	0.853032628513159	1	
HPGDS	195.226	43.4139	-2.16892	-5.07527	5e-05	0.0471679	2.16286178447488	6.26029443057681	6.32484433954514e-07	0.000748559639832776	547.590936545398	0.1842112344312	0.11000044798409	1.67464076562528	0.0940047358436571	0.999980257239735	193	237	1138	288	0.20552603254919	2>1	0.576729494549472	0.999998377526607	
FAM47E	0.747334	0.721044	-0.0516666	0	1	1	1.95038112917717	2.86306092250749	6.73992740360826e-05	0.0422593448206238	50.4150969126699	0.540034741455974	0.169531012985269	3.18546283624754	0.00144522664967725	NA	28	16	62	89	0.340085518218297	2>1	0.487286506239111	0.998630681015462	
LHX3	0.132139	4.3635	5.04536	2.55733	0.2486	0.99993	-4.78923222528537	0.670310602810091	6.67165454396414e-07	0.000748559639832776	9.15021483027057	-0.0217505185594912	0.0329340876615628	-0.660425720092927	0.508980671391318	NA	37	0	0	1	0.0162927572409468	1>2	0.947551039875392	1	
IAPP	0.24047	6.3873	4.73127	2.62205	0.1931	0.99993	-2.9050281084719	1.17119327682929	1.47298569313858e-05	0.0121080058768187	13.5487661417439	-0.28884795954471	0.122497619096304	-2.35798835663595	0.0183742692600334	NA	15	38	2	4	0.168852669861107	1>2	0.618847064652731	0.999999989859421	
F13A1	4.26507	1.09032	-1.96782	-2.57617	0.00355	0.99993	1.96312120048699	3.00537550252246	4.98757024415372e-05	0.0342983943435062	54.9514351776004	0.483937202956421	0.164062802196353	2.94970704192432	0.00318075375346374	NA	33	15	41	139	0.0364489350410957	2>1	0.889079301272215	1	
CCK	16.5698	72.9836	2.13902	4.80341	5e-05	0.0471679	-2.17195156143498	4.29562290865585	1.79041661586927e-06	0.00181752863890958	136.58436709286	-0.79545178248268	0.181581657545833	-4.38068356261095	1.1830757787759e-05	0.0339858235383023	151	341	34	62	0.419143697337235	1>2	0.373615060094967	0.926722904076617	
CYTL1	11.939	1.8444	-2.69446	-3.21061	0.0039	0.99993	2.68691408140218	2.48237345469869	4.81199228777767e-07	0.000603423832887319	40.4592507856508	0.0670512644155262	0.0644936384461876	1.03965702712637	0.298499272222919	NA	19	3	101	4	0.000552586478411745	2>1	0.996582774015817	1	
LOC419782	3.25707	0.299064	-3.44505	-0.229938	0.27465	0.99993	3.06778722626071	1.10295047790754	1.87375226288932e-05	0.0142659466929552	13.646527450983	0.260283450101414	0.115293654956376	2.25756959652202	0.0239725059404303	NA	6	0	17	30	0.244229585284177	2>1	0.559979919710908	0.99999210575238	
CGA	9.12774	247.765	4.76257	5.84358	5e-05	0.0471679	-4.85745625783047	5.66377159301696	4.46264165676345e-21	9.51345948388833e-17	355.870967341785	-0.0786689501255408	0.0621687342932811	-1.26541019404416	0.205724322809053	0.999980257239735	1405	18	30	11	0.402327653112719	1>2	0.410957941227019	0.97051859797023	
TCF7L2	12.046	34.7962	1.53037	2.89261	5e-05	0.0471679	-1.38355845179416	6.34127138260839	0.00110440378389027	0.371079177060319	573.496802712263	-0.455221429584392	0.176496203653868	-2.57921371769073	0.00990255005441631	0.999980257239735	317	1527	278	305	0.00937011397317149	1>2	0.9699707289222	1	
SLCO1C1	0.035644	3.91291	6.77844	1.47783	0.42315	0.99993	-5.44097101254769	1.97525734694721	1.0727091730016e-12	4.57360283000961e-09	25.5461369526181	-0.0185394583695145	0.0302151123300395	-0.613582308316718	0.539491377316694	NA	104	0	0	2	0.0103302251617853	1>2	0.969193827534614	1	
LOC101748511	1.33437	0.26185	-2.34934	0	1	1	2.34722375200216	2.12281002341019	1.55267156979344e-05	0.0122592046388358	29.4932639333435	0.423077190867833	0.148981147606289	2.83980354337111	0.0045141324891344	NA	4	17	37	57	0.198278736347204	2>1	0.591728945823027	0.999999678298026	
LOC420716	0.267073	4.97663	4.21987	1.42859	0.2375	0.99993	-3.79418549963642	0.588099063651711	1.47672461205219e-05	0.0121080058768187	8.4114966209196	-0.216833163216008	0.101477029365955	-2.13677089850596	0.0326166302080467	NA	23	11	0	2	0.186681418387873	1>2	0.605578298059846	0.999999939944219	
LOC101750678	1.01976	7.99775	2.97137	2.26305	0.0003	0.172265	-2.93208974406172	2.2400569223335	1.50661720526116e-07	0.000267650546514646	30.8631711417268	-0.544183343613689	0.154216204041854	-3.52870404893377	0.000417599864654065	NA	48	72	3	11	0.500742138456571	1>2	0.246284216240004	0.612903703932257	
LOC770705	0.67241	7.01593	3.38322	3.12046	0.0071	0.99993	-3.64285088687425	2.42028974369691	5.40889543544186e-09	1.28118703214166e-05	35.2975108133002	-0.0158514828299512	0.0302316266530584	-0.524334433335811	0.600045951415468	NA	0	146	9	0	0.000226343975605167	1>2	0.996912222104756	1	
POMC	2.63397	18.8056	2.83585	2.42293	0.0002	0.13207	-2.6482212243909	2.61192203562997	1.81260347544095e-07	0.000297239083765001	40.8542511322073	-0.0634445020077442	0.0625929546532862	-1.01360452401033	0.310771498107586	NA	145	3	2	21	0.000920955799501389	1>2	0.99575604657218	1	
GHRH	2.15922	22.8071	3.4009	4.07816	5e-05	0.0471679	-4.04847864998378	2.74263731449638	3.40146284914737e-12	1.20853975030206e-08	44.9242815059046	-0.442056166533738	0.134064348743444	-3.29734318390411	0.000976041614078637	NA	162	16	1	9	0.0164390107430946	1>2	0.94734816708922	1	
ALDH1A1	0.367859	7.99004	4.44098	4.56954	0.00035	0.192602	-4.28455222582652	3.75252868436969	8.02960318553208e-15	5.7058360236391e-11	93.0307863549401	-0.0672519020561034	0.058842561557509	-1.14291254962406	0.25307490151051	0.999980257239735	362	3	12	4	0.00375423599864222	1>2	0.985494784381297	1	
LOC101752216	0	4.66057	inf	-nan	5e-05	0.0471679	-7.13603088876744	0.60819111931107	8.24560031888212e-08	0.000175779707597929	8.69484875049232	-0.0190293942788578	0.0301005871774429	-0.632193457445848	0.527260471965739	NA	36	0	0	0	0.0659454618747125	1>2	0.82430600237927	1	
PITX2	0.645143	4.82092	2.90162	2.97562	0.0083	0.99993	-2.65173467631742	2.09556487539479	1.75102115208996e-06	0.00181752863890958	27.7236027068592	-0.476914205269887	0.150890314395028	-3.16066811300647	0.00157407740581427	NA	46	59	3	12	0.451633650907942	1>2	0.321804749453018	0.825174286553984	
PITX3	0.154369	1.08629	2.81495	0	1	1	-2.83964083255058	0.860651974338407	7.05145789629788e-05	0.0429494226952224	10.6265237622906	-0.18383526168893	0.0998137151588142	-1.84178358050723	0.065506812741678	NA	35	5	0	5	0.00801136631999549	1>2	0.977570157347103	1	
ALDH1A3	0.282414	8.95353	4.98657	3.1215	0.05305	0.99993	-4.13214511871564	4.69379286794952	4.64293634658275e-16	4.94890585182255e-12	180.616935658425	-0.107584568738473	0.0736632095573129	-1.46049254960535	0.144154753674624	0.999980257239735	683	25	21	14	0.0492545191077542	1>2	0.849190728304249	1	
LUC7L	30.4862	343.231	3.49295	9.14805	5e-05	0.0471679	-0.122535078627746	5.66835447648013	0.773370862685177	1	359.381607052799	-0.0622460222264574	0.185480119368921	-0.335594037993095	0.737177020520196	0.999980257239735	388	421	267	383	0.000535628265716317	1>2	0.996613166163919	1	
LOC423301	1.74261	0.25327	-2.7825	-2.36679	0.023	0.99993	2.47175862454329	1.37354914599903	6.57459575696292e-05	0.0422593448206238	16.9429219597246	0.325336266990892	0.132989585095588	2.44632891182458	0.0144319274608362	NA	3	8	23	31	0.351152091084003	2>1	0.465708009296287	0.995973603957875	
PVALB	80.184	373.798	2.22087	2.3464	0.0006	0.293489	-1.99770296194321	5.39271927313601	4.77909430010843e-06	0.00463094237680507	295.348981039948	-0.588663319531409	0.1727063953167	-3.40846277552112	0.000653299978553952	0.80430560216828	165	889	76	156	0.102341995345574	1>2	0.747975045480235	1	
TRH	16.9956	2.52242	-2.75228	-4.44614	5e-05	0.0471679	2.76977348996932	4.26881293644733	3.33186582964705e-09	8.87858946955197e-06	135.650694226571	1.06827659503294	0.183634632831672	5.81740262476615	5.9769058278358e-09	2.57544872121445e-05	45	29	150	315	0.838832939860963	2>1	0.119797393588292	0.226954820976556	
