Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_922	bayseq_library_924	bayseq_library_926	bayseq_library_928	bayseq_library_931	bayseq_library_933	bayseq_library_921	bayseq_library_923	bayseq_library_925	bayseq_library_927	bayseq_library_930	bayseq_library_932	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

ATRX	12.3474	14.4304	0.224903	0.454019	0.26705	0.999753	-2.62835335524605	-2.49840886761529	3.97722756424239e-05	0.0256928900650058	9.73817447254645	-1.67154565893845	0.532698699213867	-3.13788199859554	0.00170173370447243	0.271765475493476	47	18	11	26	0	4	4	3	4	3	1	0	0.220768610278953	1>2	0.608513789337139	1	
MGP	1410.43	1638.32	0.21608	0.399048	0.4539	0.999753	-2.56458367613004	-0.110454772540841	2.61930813023091e-06	0.00465320089335521	59.6381973472461	-1.86168458276002	0.504192549715184	-3.6924079576576	0.000222140748147345	0.140892769512454	181	232	73	69	17	22	22	4	60	4	4	16	0.0560301377718086	1>2	0.830235008685375	1	
GLDC	5.48175	2.44106	-1.16713	-1.57966	0.0001	0.0331542	-0.0967166173723578	-3.9727692147608	1	1	2.24926273521681	-0.0585243304221796	0.554492119566352	-0.105545828979408	0.915942706773478	NA	0	4	6	4	0	1	4	2	6	1	0	0	0.00761196053879593	1>2	0.965915671642942	1	
MRPS6	38.3462	40.9232	0.0938345	0.140848	0.7339	0.999753	-4.24339255589863	-4.42907592941512	0.00135730969511684	0.181981937613212	1.08627391530873	-1.62996578230179	0.548814562884594	-2.96997545716465	0.00297823541900745	NA	4	2	2	3	1	2	0	0	0	0	0	0	0.913685187711073	1>2	0.0337049896481668	0.294046734875096	
LOC100858230	0.0927528	0.0529422	-0.808973	0	1	1	-2.41500904384415	-2.40421775107176	4.84435482327043e-05	0.0286866544784664	9.89012612462993	-0.276401230696137	0.370170981521105	-0.746685300831391	0.455253544640613	0.912785755600555	0	0	21	0	25	66	20	0	0	0	0	0	0.00325917701505735	1>2	0.970035352995944	1	
GSTA3	713.076	332.236	-1.10185	-1.82027	5e-05	0.0185047	0.121696828409418	-2.25079251055192	0.884936218667109	1	11.7231116603759	0.0776996817505908	0.487720976339429	0.159311748971231	0.87342326463693	0.989828408392704	24	6	20	20	2	2	10	8	37	10	3	8	0.00383440199835978	2>1	0.96956978890615	1	
OC3	68.3144	70.4966	0.0453623	0.0760295	0.8512	0.999753	-5.51939021425878	-3.80623993033751	9.88570353169205e-07	0.00191584934444192	2.86571218038899	-1.76705395615946	0.546526651199646	-3.23324389081614	0.00122393023639129	NA	12	14	2	5	0	0	0	0	0	0	0	0	0.890525086940581	1>2	0.0405931645037352	0.371330907198658	
MAML1	6.96418	7.45088	0.0974586	0.185406	0.6512	0.999753	-4.77388298910298	-4.20287959937036	0.000109682940763807	0.0465862222845864	1.57178748639842	-1.77580507661378	0.55066971147494	-3.22480978998713	0.00126056390804808	NA	8	2	2	6	0	3	0	0	0	0	0	0	0.920057507262962	1>2	0.0278594537991935	0.227356123728536	
LOC100859747	43.5836	48.0694	0.141334	0.276153	0.4945	0.999753	-3.09082514445962	-2.87098984617445	5.9780307612251e-06	0.00900194274137836	6.98198582634082	-2.11554379882237	0.51767389119421	-4.08663414324812	4.37676472762723e-05	0.075773820383706	33	12	7	17	5	6	3	0	0	0	2	3	0.747421924325267	1>2	0.109681061555998	0.928777893950737	
ABL1	28.7335	34.0674	0.245656	0.472348	0.25035	0.999753	-2.32109719431543	-2.54933432797914	0.000115061860273861	0.0471709372561185	9.28286832012085	-1.39445247286334	0.548459452726946	-2.54248963333589	0.0110065866183468	0.452256126414142	32	31	4	16	0	13	6	0	9	0	0	4	0.0454417485437422	1>2	0.854244277121478	1	
LOC422307	1.11383	3.27857	1.55754	1.86248	5e-05	0.0185047	-3.15472960225448	-4.75264693626085	0.0459467100371506	0.757534388686757	0.517177915583771	-0.726682447892146	0.45835815015642	-1.58540313430481	0.112874769513857	NA	2	2	0	0	0	2	0	0	0	0	0	0	0.243052979086629	1>2	0.575273866366884	1	
LOC101752256	2.50336	2.89658	0.210486	0.0816508	0.8778	0.999753	-5.8452988709758	-2.07081315286886	1.69227807680922e-12	9.01899601035474e-09	13.9977606568184	-0.407800580138465	0.370465553888857	-1.10077867120895	0.270992996748492	0.829823152327828	110	0	49	0	0	0	0	0	0	0	2	0	0.395978044123095	1>2	0.420924603928582	1	
CYP1A1	10.1106	3.46869	-1.54341	-2.02034	5e-05	0.0185047	0.192499661803784	-3.48492875970915	0.851853613802704	1	3.71464701377834	0.161456742492253	0.502179431947019	0.321512057684765	0.747822376212631	0.978031358680664	0	2	2	12	2	8	6	2	3	5	2	7	0.00972623178720456	2>1	0.962356893199019	1	
CYP1A4	4.18334	1.25193	-1.7405	-1.78732	5e-05	0.0185047	2.40822438513559	-4.9024048027656	0.271716199084801	1	0.311081260453019	0.417969752068385	0.37253240700827	1.12196883869786	0.26187568942055	NA	0	0	0	0	0	0	2	1	0	0	0	0	0.140683219495868	2>1	0.682154477982	1	
HHATL	2.74596	6.39134	1.21881	1.74237	5e-05	0.0185047	0.351447054403031	-4.44744478326908	1	1	1.03989756089027	0.17019411173125	0.550525728249792	0.30914833403395	0.757208693472001	NA	1	0	1	1	2	1	0	0	0	1	3	3	0.0124194441982753	2>1	0.935934017838117	1	
HDAC11	7.89527	8.42533	0.0937446	0.154189	0.70935	0.999753	-5.2013226543409	-3.98657351352082	8.81744406150756e-06	0.0110570748531305	2.31823270164558	-1.60327796651508	0.541115684027352	-2.96291165427399	0.00304744020467955	NA	10	12	0	2	0	2	0	0	0	0	0	0	0.814586110903139	1>2	0.074059668499941	0.717865658592256	
LOC100859181	47.506	23.7177	-1.00214	-1.77756	5e-05	0.0185047	0.18476185655822	-3.24935855363818	0.817971973181016	1	4.74760623999957	0.116684388638254	0.54806617236155	0.21290200804672	0.831403396095825	0.984916202473349	2	2	9	14	5	0	9	1	12	0	10	0	0.00630031299771137	2>1	0.9673853696697	1	
