Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	

LOC101751816	NULL	NULL	NULL	NULL	NULL	NULL	-1.41368875489259	4.95633570952445	8.65327319144495e-06	0.00153686848743886	-1.26859157570709	940.235332429856	0.194463006993213	6.86567938054869e-11	4.85489353197049e-08	1276	1329	612	475	0.962884457851854	0.0121671118126416	
OPA1	NULL	NULL	NULL	NULL	NULL	NULL	-0.633525802655428	6.32049914871305	0.0415676558907426	0.859494944984337	-0.584107434349558	2421.76268293807	0.172443209651262	0.000705982602268167	0.0990184358933311	2551	3079	1954	2055	0.105195196665174	0.61884155500518	
LOC101750146	NULL	NULL	NULL	NULL	NULL	NULL	-2.55008991944339	7.14017366432961	6.32440822242019e-15	5.09278420817661e-12	-2.19879761111475	4279.87046487226	0.220272908168523	1.82466057706056e-23	4.42375923618498e-20	7422	6448	1554	1092	0.820324942421816	0.0394565220735595	
LOC771752	NULL	NULL	NULL	NULL	NULL	NULL	0.991106034070729	2.1437555802889	0.00347862615156143	0.194638719944847	0.699445916821963	131.662293815445	0.290938343740364	0.016212178498518	0.707292753980333	82	86	249	124	0.0366614579934633	0.826067363391451	
LOC100857214	NULL	NULL	NULL	NULL	NULL	NULL	-1.24132646694625	0.920639704501899	0.000955915220170332	0.0760380621775789	-0.632507173732402	56.063583571435	0.319629251241839	0.0478297859489216	0.999162683775631	110	37	37	33	0.0176721885200635	0.910575032914971	
C5H14ORF105	NULL	NULL	NULL	NULL	NULL	NULL	-3.70594596312965	2.11267603163981	4.4775773750709e-21	7.34253803705858e-18	-2.16890936226887	130.489760155784	0.311348748480432	3.25677756195244e-12	3.07059844466083e-09	309	145	24	15	0.979042351473683	0.00588098073432559	
LOC101748904	0.0147547	0.16686	3.49939	0	1	1	-3.58684255039956	0.245781844125525	3.77250967399808e-13	2.3653635655968e-10	-1.87519208337056	34.469237353396	0.316657798201731	3.18388229437647e-09	1.80112221392877e-06	54	68	7	4	0.92108787975184	0.0208018521006739	
SIDT1	NULL	NULL	NULL	NULL	NULL	NULL	0.842211657686003	1.84871354619169	0.0146133653929504	0.483738701004528	0.606140359797701	106.940055130417	0.286818259172946	0.0345729119965495	0.999162683775631	71	75	188	104	0.0185777287472483	0.906573199481536	
NAALAD2	NULL	NULL	NULL	NULL	NULL	NULL	-0.718737844941915	4.38530508885116	0.0226749292517426	0.609563861019734	-0.611158768765419	632.485797520268	0.229500056179659	0.00774472946277284	0.462802125749007	834	656	564	448	0.0431003379667798	0.8029639471345	
TMC2	NULL	NULL	NULL	NULL	NULL	NULL	-1.04929952475861	0.861011401628597	0.00598687289258045	0.277452513747891	-0.633299600026252	53.2838937645811	0.312343642329896	0.0426038260106733	0.999162683775631	54	84	25	48	0.00978792564147052	0.945613629435722	
TMEM141	47.4945	80.3152	0.757913	2.04539	0.03395	0.973128	-0.704703411817878	4.61926257458246	0.0250747578489513	0.65427623968659	-0.646875010157905	743.599556871167	0.176638695804683	0.000250120545777876	0.0451574019403865	819	941	602	593	0.717369891868765	0.0716917074394644	
AIRE	NULL	NULL	NULL	NULL	NULL	NULL	0.818933659973725	2.13595951339394	0.0160457772347419	0.513609428063406	0.604119221149562	131.166678322989	0.280595369427266	0.0313194093559886	0.989798316909652	98	82	139	213	0.0175957345406161	0.911169591564045	
MYO1G	NULL	NULL	NULL	NULL	NULL	NULL	1.23363660277069	1.76341541534691	0.000437329095194896	0.0408902704007228	0.880697945132182	100.506966343737	0.288714063626691	0.00228524737287787	0.220357574801763	46	69	187	113	0.0335816456453806	0.839438770207607	
MYO1F	NULL	NULL	NULL	NULL	NULL	NULL	0.934512268800081	2.60538662439034	0.00463381245117225	0.238032804419494	0.762108302357198	182.1994428769	0.247910210240425	0.00211117164868547	0.207102277744747	98	142	233	272	0.0514095588392415	0.777463040102919	
LOC428714	NULL	NULL	NULL	NULL	NULL	NULL	2.21631276013385	-0.942792925835124	0.000151537048860527	0.0176528240852935	0.687982999159769	13.5955486198365	0.301040173051943	0.022292149892382	0.80884428664632	4	5	12	35	0.0339869818750067	0.838171722368211	
LGALS2	NULL	NULL	NULL	NULL	NULL	NULL	-0.625700231757736	8.53372091525133	0.0433121471495239	0.877439820813643	-0.530763435188972	11241.9109932914	0.230873135561325	0.0215083591813631	0.800319527518161	13842	12047	7740	10861	0.000825402494786977	0.988674054447226	
EIF2AK3	NULL	NULL	NULL	NULL	NULL	NULL	-0.648033058119492	5.43190409828649	0.0379342528141517	0.814383083073601	-0.601162645962943	1307.56536422164	0.167111961517912	0.00032145780111585	0.0544428194651422	1476	1567	1119	1035	0.427661693877544	0.222877423781811	
ENTPD2	4.37997	8.01007	0.870895	1.11319	0.16495	0.999798	-0.783147658066458	3.63810265068335	0.0142962212342292	0.480265184333891	-0.621044588540064	375.456314819157	0.258658730016997	0.0163494766414006	0.70782389816635	324	592	277	306	0.0430664521089091	0.803455834704886	
PIGC	NULL	NULL	NULL	NULL	NULL	NULL	-0.797350585902583	4.49900454803998	0.0114710740235052	0.410302610793765	-0.700069304096134	683.997443077243	0.210024268005184	0.000858290889652566	0.112142639316918	762	897	467	586	0.416561579333544	0.235511595167157	
RHPN1	NULL	NULL	NULL	NULL	NULL	NULL	-1.19071083053587	4.78977504161313	0.000168882655407498	0.0193561314407368	-0.911985563801109	838.316016417119	0.271233912204592	0.000772798106669589	0.105767392486206	1346	851	659	424	0.121211249870869	0.578603123531759	
ARHGAP25	NULL	NULL	NULL	NULL	NULL	NULL	0.814085857681864	0.983189065986116	0.0281427147428663	0.714488005637617	0.580569024766625	57.7057896177563	0.289225711562963	0.0447154282175346	0.999162683775631	35	45	87	69	0.0238247908023184	0.87582417464397	
LOC100858813	1.13612	5.40297	2.24964	0.923324	0.29435	0.999798	-1.98249728498125	1.24963141686156	1.50160649349878e-07	4.00140590355088e-05	-1.38297368635537	70.7379333084372	0.292323946302554	2.23457581157615e-06	0.000824412741266498	118	96	26	34	0.41413277207643	0.24354618896613	
LOC100859367	NULL	NULL	NULL	NULL	NULL	NULL	1.03972177816775	0.923858068526367	0.00573128572061156	0.26911794932158	0.725880312006182	55.3024480674071	0.293244794092953	0.0133109715314312	0.63557708786429	32	37	70	87	0.0475862279300316	0.791472558639352	
CAPG	NULL	NULL	NULL	NULL	NULL	NULL	-1.0496318526982	3.07553709631111	0.00131079735428149	0.0940861212073159	-0.920193638655702	254.050594342873	0.210861607371524	1.27723349923899e-05	0.00373722926130773	318	335	186	164	0.588352654965803	0.141492946805649	
PRDM10	NULL	NULL	NULL	NULL	NULL	NULL	0.738024805534601	3.68553440032329	0.02092274970823	0.592324755449635	0.604896089569277	387.981160197973	0.245140956657377	0.0136043511769197	0.640499334106638	286	267	629	401	0.0384071389798463	0.815638805981129	
LOC101748525	NULL	NULL	NULL	NULL	NULL	NULL	0.86903217095332	3.65540502791633	0.00670594454896304	0.29731522548355	0.750954092188659	379.878167329119	0.218353946226452	0.000583522895372459	0.0853704056669483	253	259	465	570	0.265101498240468	0.357094563757002	
