Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_807	bayseq_library_808	bayseq_library_810	bayseq_library_811	bayseq_library_712	bayseq_library_713	bayseq_library_718	bayseq_library_720	bayseq_likelihood	bayseq_FDR	

ITGA8	2.65099	1.27359	-1.05763	-1.37836	0.0059	0.190208	1.55329162404092	1.68030103552775	0.000142871362213045	0.00860376186343981	1.15588722389745	113.861232909257	0.357556834199675	0.00122610365283313	0.12029869601957	115	64	23	88	34	121	316	179	0.102656443957173	0.663735671117772	
ITGA6	27.5819	24.0119	-0.199972	-0.187289	0.69985	0.999226	0.834222925771222	4.4213996514374	0.0332191689624646	0.448782414390067	0.770415461568624	681.006366693078	0.233895257636109	0.000988258715574713	0.103530807727896	717	657	304	850	108	1170	1849	1049	0.20986110866015	0.51351743981658	
ITGAV	25.458	16.4447	-0.630497	-0.748634	0.12165	0.842454	1.15061304032213	4.59533927342543	0.00343321235501462	0.102793849696912	1.00658235980572	783.501829760827	0.283594992237414	0.000386160274514278	0.0674727316014947	810	828	334	519	185	1101	2084	1131	0.462645991228875	0.291558782916345	
CKS1B	84.6093	32.0716	-1.39952	-2.87645	0.00495	0.168856	1.02098323193594	2.6827740092751	0.00898367568217569	0.200064035435511	0.583570507041528	256.235112937291	0.398131441908575	NA	NA	180	281	167	137	129	180	129	118	0.0539302077527863	0.770325667658214	
CPEB4	NULL	NULL	NULL	NULL	NULL	NULL	0.888364436923967	3.77438052211375	0.0234909868183083	0.36633566714901	0.788677343803521	445.013356078751	0.271246926144459	0.00364214814002669	0.190224507828194	548	418	191	442	96	678	1079	603	0.181032598101756	0.542242935860575	
SIDT2	35.5658	14.794	-1.26547	-1.28463	0.0142	0.323145	1.00537456930846	5.59834761604872	0.0100024460679285	0.214519260841146	0.635996357942123	1621.19578271564	0.392707825006135	NA	NA	1509	1617	1036	1036	707	1504	1298	1070	0.217308693189294	0.504204458719233	
PTPN14	1.80347	0.892918	-1.01417	-1.36696	0.0059	0.190208	0.936287292626057	3.40400859453614	0.0169635278109002	0.304914406300818	0.781650246445564	355.336297932597	0.318771472866901	0.0142036679896041	0.308777450766824	419	339	175	286	98	463	785	386	0.143815254438289	0.60085405825037	
LOC100858152	13.3285	4.80454	-1.47204	-1.69205	0.0039	0.143692	0.995993563201332	2.53771227172701	0.0112379480178921	0.23349958659398	0.720337841183452	213.85272809644	0.379444668344175	NA	NA	180	300	104	108	81	277	206	224	0.0205208478880172	0.87828802183549	
CDK2	5.45599	11.4305	1.06698	1.95958	0.0522	0.620495	-0.907666198555746	0.439811566269902	0.0233015648027287	0.365280607523019	-0.7350452119987	38.1582701770407	0.296056619628824	0.0130359398130218	0.300988686453366	84	86	50	43	1	52	59	33	0.0412487541437571	0.804075552608545	
FOXS1	6.41225	1.47051	-2.12452	-2.3489	0.00015	0.0135095	1.61255627471534	0.794769179960946	0.000113639087754066	0.00725316788245864	0.9273750903239	88.6171398957554	0.398212811965637	NA	NA	62	37	35	43	50	55	69	56	0.166132289148723	0.571515911725884	
LRRC23	1.51464	3.38929	1.16201	1.18191	0.02085	0.39699	-0.915113057682249	1.61034772019414	0.0224757529383081	0.360130929641964	-0.779256234711681	91.0712690831716	0.256705156685658	0.0024005121171502	0.157748145477162	114	217	127	145	5	97	114	109	0.0770751971615019	0.716357921046581	
LOC100857891	0	16.4868	inf	-nan	5e-05	0.00552662	-9.91320022811194	0.80920761691974	2.79966911012608e-24	3.5107850640981e-21	-0.113044505896461	47.4109439818586	0.151801986537527	NA	NA	1	570	0	0	0	0	0	0	0.954966073939161	0.0137129006279232	
LOC101749123	0	0	0	0	1	1	2.15715849533161	-2.56875530641898	0.000161109597166044	0.00940968326681023	0.902908536136104	11.4319675139409	0.373445266905648	0.015615510329611	0.312928082361622	1	3	3	1	8	4	4	10	0.129781290532046	0.618729451035943	
VPS13B	3.61512	1.9992	-0.854623	-1.26934	0.01025	0.262369	0.868968487903817	4.87471567287069	0.0259068977615048	0.389755290387974	0.755361430334015	955.167917297191	0.299045495805473	0.0115399674826817	0.289263047767045	1032	1045	513	816	249	1231	1968	1201	0.272521131142418	0.448392665295832	
TMEM164	36.0766	33.3564	-0.113101	-0.130735	0.7935	0.999226	0.799459274665134	5.04474083173848	0.0402216969246491	0.501461270766236	0.688087665644472	1066.38170208619	0.30772106036783	0.0253467958372103	0.371769903256696	1431	1113	734	577	254	1648	2131	1332	0.0355209554136365	0.821678795349497	
TAP2	12.6592	3.09784	-2.03085	-2.22165	0.0001	0.0100722	1.67612016800123	3.02361330466176	3.1924983876465e-05	0.00252065483806845	0.988463095809673	308.639251653874	0.395429867223951	NA	NA	170	200	134	183	147	201	632	137	0.775754659609209	0.0950611674916552	
C13H5ORF41	4.96012	3.02537	-0.713261	-1.08891	0.0302	0.479091	0.633999543548618	4.36944005443376	0.103847284964082	0.815673259767309	0.602936363132683	662.55375276907	0.200889192654591	0.00268796041176138	0.170316260815562	757	765	449	634	122	987	1421	1021	0.26179259016125	0.464411633685825	
ADRA2B	0.710578	0.0780579	-3.18638	-1.80819	0.0011	0.0585131	1.13152405042737	-2.56273211258767	0.00941962542350444	0.206359472640025	0.725877074565732	12.4092488843346	0.368156666280064	0.0486492699805355	0.466705529148401	4	6	2	2	9	3	5	3	0.087523536425917	0.696673413471972	
