Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_807	bayseq_library_808	bayseq_library_810	bayseq_library_811	bayseq_library_712	bayseq_library_713	bayseq_library_718	bayseq_library_720	bayseq_likelihood	bayseq_FDR	

ITGA8	2.65099	1.27359	-1.05763	-1.37836	0.0059	0.190208	1.55329162404092	1.68030103552775	0.000142871362213045	0.00860376186343981	1.15588722389745	113.861232909257	0.357556834199675	0.00122610365283313	0.12029869601957	115	64	23	88	34	121	316	179	0.102656443957173	0.663735671117772	
PTPN14	1.80347	0.892918	-1.01417	-1.36696	0.0059	0.190208	0.936287292626057	3.40400859453614	0.0169635278109002	0.304914406300818	0.781650246445564	355.336297932597	0.318771472866901	0.0142036679896041	0.308777450766824	419	339	175	286	98	463	785	386	0.143815254438289	0.60085405825037	
LRRC23	1.51464	3.38929	1.16201	1.18191	0.02085	0.39699	-0.915113057682249	1.61034772019414	0.0224757529383081	0.360130929641964	-0.779256234711681	91.0712690831716	0.256705156685658	0.0024005121171502	0.157748145477162	114	217	127	145	5	97	114	109	0.0770751971615019	0.716357921046581	
VPS13B	3.61512	1.9992	-0.854623	-1.26934	0.01025	0.262369	0.868968487903817	4.87471567287069	0.0259068977615048	0.389755290387974	0.755361430334015	955.167917297191	0.299045495805473	0.0115399674826817	0.289263047767045	1032	1045	513	816	249	1231	1968	1201	0.272521131142418	0.448392665295832	
ADRA2B	0.710578	0.0780579	-3.18638	-1.80819	0.0011	0.0585131	1.13152405042737	-2.56273211258767	0.00941962542350444	0.206359472640025	0.725877074565732	12.4092488843346	0.368156666280064	0.0486492699805355	0.466705529148401	4	6	2	2	9	3	5	3	0.087523536425917	0.696673413471972	
SYT7	7.7557	14.4325	0.895991	1.23755	0.01345	0.31393	-0.841236228897709	4.04279522033185	0.0300664298067266	0.423632617726237	-0.683091592952012	507.258084130378	0.305307808798274	0.0252610851382279	0.371769903256696	938	741	457	1231	24	1028	580	381	0.0412515184251644	0.804009592824644	
ZBTB7C	3.30585	1.75846	-0.910707	-1.1561	0.02005	0.389157	1.0641920530542	1.39952244130586	0.00823473758834073	0.189501405552982	0.783875854326544	92.9166542177821	0.364553506254147	0.0315365993372084	0.40378985591046	53	68	34	138	26	127	251	82	0.0146166679862792	0.902593947678675	
PCSK6	8.72775	3.59282	-1.28049	-1.43267	0.0055	0.183211	0.999801356277105	2.95654471559371	0.0111257311055026	0.231619468463969	0.807211511554588	269.59549337484	0.338264030432604	0.0170172121167919	0.328824416424366	315	235	138	191	85	357	471	297	0.113866463392205	0.644804341921345	
OSR1	7.8177	3.09514	-1.33674	-1.70831	0.00215	0.0963087	1.27805243300224	1.91788058985674	0.00174751492668763	0.0623606845540414	0.775297349453931	115.575090133043	0.389091239891218	0.0463069143464784	0.458600033223403	192	55	10	114	13	188	464	213	0.0226198280006827	0.868207312419034	
LOC768251	0.583964	1.97089	1.7549	1.71861	0.0094	0.245409	-1.50903718200041	-0.0440300764637531	0.000199574652130095	0.0110221047515787	-1.06581008791235	25.9517200470964	0.368340311400642	0.00380916997820711	0.190757169526113	29	95	20	73	0	27	29	18	0.131747927243986	0.613852073999878	
LOC417263	3.08464	7.91951	1.36031	1.19665	0.01815	0.368675	-1.26137925854216	1.97995149102787	0.00192012285687133	0.0664499660110113	-1.14042481736438	117.917500919407	0.197540284056301	7.78145184669454e-09	2.34225267176527e-05	263	267	141	188	6	115	116	117	0.729856277454544	0.110851944915746	
LOC101749860	0.750803	1.35072	0.847223	1.06832	0.03855	0.545181	-0.782003095285601	2.38343543449432	0.0397776299609982	0.499032583115292	-0.652470193473562	155.355672518262	0.231755198872078	0.00487253182352811	0.213518971011597	271	312	195	231	5	189	226	215	0.158263538790169	0.58133402774759	
DCN	91.7613	39.8714	-1.20253	-1.28216	0.0091	0.241654	1.18748218607799	5.86602581162705	0.00251732963024581	0.0811867368495919	0.92976306047039	1822.99018423888	0.331779478271294	0.00507314040545825	0.214983006838994	2622	1283	553	1428	158	3121	6926	3922	0.0897809605237089	0.690451928194334	
FLRT2	1.72608	1.01944	-0.759724	-1.02942	0.0407	0.554268	0.892497959343433	2.82435646890245	0.0234779316882103	0.36633566714901	0.77318873394034	236.746316379735	0.28213178555827	0.00613414312690169	0.22869406783306	205	216	121	283	57	346	521	312	0.157395857219314	0.583555616434971	
FAT1	10.8211	6.56477	-0.721027	-0.972902	0.0453	0.577351	0.830793808027378	6.0973835929747	0.0329445985520137	0.448782414390067	0.756964208856839	2195.0326216663	0.262986836124953	0.00399780382650282	0.192629555963359	1792	2207	1451	2382	496	3089	4573	3260	0.187878578833482	0.533421884108815	
FAT4	0.998456	0.471794	-1.08154	-1.40403	0.0061	0.191223	0.959862792906705	2.94805864987266	0.0146687059052383	0.275499664044576	0.791450882480303	265.845508553711	0.326570201538706	0.01537071667334	0.312928082361622	261	280	134	216	80	355	512	279	0.213825787680091	0.510454044936669	
AKR7A2	37.7923	81.1082	1.10176	2.00714	0.00065	0.0402338	-1.15950380575007	5.52379995304066	0.0030771600111198	0.094468481178728	-1.04971147335169	1432.20207416898	0.204678535110216	2.9192650558495e-07	0.000420812057800705	2471	3398	1947	2173	70	1582	1502	1543	0.583094824077623	0.207601175764985	
